PA	ਬਾਰੇ	ਕੰਸੋਲ	ਦੇਖੋ ਪਛਾਣ	ਦਰਸ਼ਕ	ਐਪਲੀਕੇਸ਼ਨ	ਕਾਰਜ, ਚਾਰਟ	ਸਤ ਸ੍ਰੀ ਅਕਾਲ	ਗਰਿੱਡ	ਚਾਰਟ	ਨਿਊਜ਼	ਟੈਬ ਬੰਦ ਕਰੋ	ਸਾਰੇ ਟੈਬਸ ਬੰਦ ਕਰੋ	ਕਰਨ ਲਈ ਸਾਰੇ ਟੈਬਸ ਵਿੱਚ ਭੇਜੋ	ਹੋਰ ਟੈਬਸ ਬੰਦ ਕਰੋ	ਝਟਕੋ ਖੱਬੇ ਸੱਜੇ	ਸਿਖਰ ਤਲ ਝਟਕੋ	ਫਲਿਪ ਸਥਿਤੀ	ਸੱਜੇ ਸਮੇਟੋ	ਸਮੇਟੋ ਖੱਬੇ	ਸਮੇਟੋ ਸਿਖਰ	ਸੰਕੁਚਿਤ ਕਰੋ ਤਲ	ਲੋਕੈਸ਼ਨ ਭੇਜੋ	ਦਰਸ਼ਕ	ਸਵਿੱਚ ਯੂਜ਼ਰ	ਪਸੰਦ	ਓਪਨ ਯੰਤਰ ਮੇਨੂ	ਓਪਨ ਐਪਲੀਕੇਸ਼ਨ	ਓਪਨ ਐਪਲੀਕੇਸ਼ਨ ਚਾਰਟ	ਓਪਨ ਗਰਿੱਡ	ਨਿਊਜ਼ ਓਪਨ	ਓਪਨ ਚਾਰਟ	ਨਮੂਨਾ ਇੰਟਰਾਨੈੱਟ ਨਿਊਜ਼	ਚਾਰਟ ਦੁਆਰਾ ਵਰਕਫਲੋ ਡਾਟਾ ਜ਼ਾਹਰ	ਨਵ ਵਿੰਡੋ ਵਿੱਚ ਖੋਲ੍ਹੋ	ਓਪਨ ਦਰਸ਼ਕ	ਕੰਸੋਲ ਤੇ ਜਾਓ	ਝਰੋਖਾ	ਇਹ ਵਿੰਡੋ	ਤੁਲਨਾ	ਯੰਤਰ ਨੂੰ ਖੋਲ੍ਹਣ ਲਈ, ਟੂਲਬਾਰ 'ਗੈਜ਼ਟ ਕੰਟਰੋਲ' ਤੇ ਕਲਿੱਕ ਕਰੋ!	ਲੋਡ ਹੋ ਰਿਹਾ ਹੈ	ਇਸ ਪੈਨਲ 'ਤੇ ਯੰਤਰ	ਗੈਜੇਟ ਕਾਰਵਾਈ	ਵਿਚ ਖੋਲ੍ਹੋ	ਬੰਦ ਕਰੋ	ਭੇਜੋ	ਗੈਜੇਟ ਵੇਲੇ ਇੱਥੇ ਖੋਲ੍ਹਿਆ	ਨਿਊ ਵਿੰਡੋ	ਬੇਨਜ਼ੀਰ
JV	About	console	View Pambuka	Viewer	aplikasi	aplikasi Chart	Hello	kothak	Chart	News	close Tab	Nutup kabeh tab	Pindhah kabeh tab kanggo	Close tab liyane	Flip Kiri Kanan	Flip Top Bottom	flip Orièntasi	ambruk Kanan	ambruk Kiri	ambruk Top	Collapse Bottom	Pindhah menyang Lokasi	Viewer	ngalih Anggota	Gawe	Open Gadgets Menu	Open Aplikasi	Open Aplikasi Chart	Open Grid	Open News	Open Chart	Sample Intranet News	Nduduhake data etos liwat denah	Bukak ing jendhela anyar	Open Viewer	Menyang Console	Jendelo	jendhela iki	mbandhingaké	Klik ing kontrol toolbar gadget kanggo mbukak Gadgets!	Loading	Gadgets ing panel iki	Tumindak gadget	Bukak ing	close	Pindhah menyang	Gadget saiki dibukak kene	jendela anyar	Apik
DE	Über	Konsole	Ansicht Einführung	Zuschauer	Anwendungen	Anwendungstabelle	Hallo	Gitter	Diagramm	Nachrichten	Tab schließen	Alle Fenster schließen	Verschieben Sie alle Registerkarten	Andere Tabs schließen	Flip Left Right	Flip Top Bottom	Flip Orientation	Collapse Rechts	Collapse Left	Collapse Top	Collapse Bottom	Umzug nach Ort	Zuschauer	Benutzer wechseln	Voreinstellungen	Öffnen Sie Geräte-Menü	Open Applications	Open Applications Übersicht	Open Grid	Öffnen Sie Nachrichten	Plan öffnen	Beispiel Intranet News	Demonstriert Workflow-Daten über Charts	In einem neuen Fenster öffnen	Öffnen-Viewer	Zum Console	Fenster	Dieses Fenster	Vergleichen	Klicken Sie auf der Symbolleiste auf die Gadget-Steuerelemente Gadgets zu öffnen!	Laden	Gadgets auf diesem Panel	Gadget Aktionen	öffnen Sie in	Schließen	Ziehen nach	Gadget sich hier eröffnet	Neues Fenster	Genial
KO	약	콘솔	보기 소개	뷰어	응용 프로그램	응용 프로그램 차트	안녕하세요	그리드	차트	뉴스	탭 닫기	모든 탭을 닫습니다	모든 탭을 이동	다른 탭 닫기	왼쪽 오른쪽 플립	위쪽에서 아래쪽 플립	플립 방향	오른쪽 축소	왼쪽 축소	최고 축소	축소 바닥	위치로 이동	뷰어	사용자 전환	환경 설정	열기 가젯 메뉴	응용 프로그램을 엽니 다	오픈 응용 프로그램 차트	열기 격자	열기 뉴스	열기 차트	샘플 인트라넷 뉴스	차트를 통해 워크 플로우 데이터를 보여줍니다	새 창에서 열기	열기 뷰어	콘솔로 이동	창문	이 창	비교	가젯을 열려면 도구 모음 가젯 컨트롤을 클릭!	로드	이 패널의 가젯	가젯 조치	에서 열기	닫기	로 이동	가젯은 현재 여기에 오픈	새로운 창	최고
FR	Sur	Console	Voir introduction	Téléspectateur	Applications	applications Graphique	Bonjour	la grille	Graphique	Nouvelles	Fermer l'onglet	Fermer tous les onglets	Déplacer tous les onglets à	Fermer les autres onglets	Retourner Gauche Droite	Flip Top Bottom	Orientation flip	Réduire droit	Réduire gauche	Réduire Haut	GEOGRAPHIQUE	Déplacer vers l'emplacement	Téléspectateur	Changer d'utilisateur	préférences	Gadgets ouvrir le menu	Applications ouvertes	Graphique Open Applications	Grille ouverte	Ouvrez Nouvelles	Ouvrir graphique	Nouvelles échantillon Intranet	Démontre des données de flux de travail via des graphiques	Ouvrir dans une nouvelle fenetre	Viewer open	Aller à la console	Fenêtre	cette fenêtre	Comparer	Cliquez sur les contrôles gadget barre d'outils pour ouvrir les gadgets!	Chargement	Gadgets sur ce panneau	Actions Gadget	Ouvrir dans	Fermer	Déménager à	Gadget actuellement ouvert ici	Nouvelle fenetre	Impressionnant
TE	గురించి	కన్సోల్	పరిచయం వీక్షించండి	వ్యూయర్	అప్లికేషన్లు	అప్లికేషన్స్ చార్ట్	హలో	గ్రిడ్	చార్ట్	న్యూస్	టాబ్ మూసివేయి	అన్ని టాబ్లను మూసివేయి	అన్ని టాబ్లను తరలించు	ఇతర టాబ్లను మూసివేయి	ఎడమ కుడి ఫ్లిప్	టాప్ దిగువ ఫ్లిప్	ఫ్లిప్ దిశ	కుడి కుదించు	ఎడమ కుదించు	కుదించు టాప్	దిగువ కుదించు	స్థానానికి తరలించండి	వ్యూయర్	వినియోగదారుని మార్చు	ప్రాధాన్యతలు	ఓపెన్ గాడ్జెట్లు మెనూ	ఓపెన్ అప్లికేషన్స్	ఓపెన్ అప్లికేషన్స్ చార్ట్	ఓపెన్ గ్రిడ్	ఓపెన్ న్యూస్	ఓపెన్ చార్ట్	నమూనా ఇంట్రానెట్ న్యూస్	పటాలు ద్వారా వర్క్ఫ్లో డేటా ప్రదర్శించాడు	క్రొత్త విండోలో తెరువు	ఓపెన్ వ్యూయర్	కన్సోల్ వెళ్ళండి	కిటికీ	ఈ విండో	సరిపోల్చండి	గాడ్జెట్లు తెరవడానికి టూల్బార్ గాడ్జెట్ నియంత్రణల మీద క్లిక్ చేయండి!	లోడ్	ఈ ప్యానెల్ లో గాడ్జెట్లు	గాడ్జెట్ చర్యలు	లో తెరువు	Close	తరలించడానికి	గాడ్జెట్ ప్రస్తుతం ఇక్కడ ప్రారంభించారు	క్రొత్త విండో	బ్రహ్మాండం
MR	बद्दल	कन्सोल	परिचय पहा	दर्शक	अनुप्रयोग	अनुप्रयोग चार्ट	हॅलो	ग्रिड	चार्ट	बातम्या	टॅब बंद करा	सर्व टॅब बंद करा	सर्व टॅब हलवा	इतर टॅब बंद करा	डावा-उजवा फ्लिप	शीर्ष तळ फ्लिप	फ्लिप ओरिएन्टेशन	उजव्या संकुचित	डाव्या संकुचित	शीर्ष संकुचित	तळ संकुचित	स्थान हलवा	दर्शक	स्विच वापरकर्ता	प्राधान्ये	ओपन गॅझेट मेनू	उघडा अनुप्रयोग	उघडा अनुप्रयोग चार्ट	ग्रिड उघडा	बातम्या उघडा	चार्ट उघडा	नमुना इंट्रानेट बातम्या	चार्ट द्वारे कार्यपद्धत डेटा प्रात्यक्षिक	नवीन विंडोमध्ये उघडा	दर्शक उघडा	कन्सोल वर जा	विंडो	ही विंडो	तुलना करा	गॅझेट उघडण्यासाठी टूलबार गॅझेट नियंत्रणे वर क्लिक करा!	लोड करीत आहे	या पटल गॅझेट	गॅझेट क्रिया	उघडा	बंद	पुढे व्हा	गॅझेट सध्या येथे उघडले	नवीन विंडो	अप्रतिम
TR	hakkında	Konsol	Görünüm Tanıtım	izleyici	Uygulamalar	Uygulamalar Grafik	Merhaba	ızgara	Grafik	haber	Sekmeyi Kapat	Tüm sekmeleri kapatma	Tüm sekmeleri taşı	Diğer sekmeleri kapat	Sol Sağ çevirin	Üst Alt çevirin	Ayaklı Yönlendirme	Sağa kapa	Sol kapa	Üst kapa	Collapse Alt	Yer taşı	izleyici	Kullanıcı değiştir	Tercihler	Açık alet Menüsü	Açık Uygulamaları	Açık Uygulamalar Grafik	Açık Izgara	Açık Haberler	Açık Grafik	Numune Intranet Haberleri	çizelgeleri aracılığıyla iş akışı verilerini gösterir	Yeni pencerede aç	Açık Görüntüleyici	Konsolu'na gidin	pencere	Bu pencere	Karşılaştırmak	gadget'larını açmak için araç çubuğu Gadget kontrolleri tıklayın!	Yükleniyor	Bu panelde alet	gadget İşlemleri	Açılmak	Kapat	Taşınmak	Gadget şu anda burada açıldı	Yeni Pencere	müthiş
TA	பற்றி	கன்சோல்	காண்க அறிமுகம்	பார்வையாளர்	பயன்பாடுகள்	பயன்பாடுகள் விளக்கப்படம்	வணக்கம்	கிரிட்	விளக்கப்படம்	செய்திகள்	தாவலை மூடுக	அனைத்து தாவல்களையும் மூடு	அனைத்து தாவல்கள் நகர்த்து	மூடுக	இடது வலது மடக்கு	சிறந்த பாட்டம் மடக்கு	திருப்பு திசை	வலது சுருக்கு	இடது சுருக்கு	சிறந்த சுருக்கு	சுருக்கு பாட்டம்	இருப்பிடம் நகர்த்து	பார்வையாளர்	பயன்பாட்டாளர் மாற்றம்	விருப்பங்கள்	திறந்த கேஜெட்கள் பட்டி	திறந்த பயன்பாடுகள்	திறந்த பயன்பாடுகள் விளக்கப்படம்	திறந்த கட்டம்	திறந்த செய்திகள்	திறந்த விளக்கப்படம்	மாதிரி அக செய்திகள்	வரைபடங்கள் வழியாக பணிப்போக்கு தரவு நிரூபிக்கிறது	புதிய சாளரத்தில் திற	திறந்த பார்வையாளர்	பணியகம் சென்று	ஜன்னல்	இந்த விண்டோ	ஒப்பிடு	கேஜெட்டுகள் திறக்க டூல்பார் கேஜெட் கட்டுப்பாடுகள் கிளிக்!	ஏற்றுதல்	இந்த குழு கேஜெட்கள்	கேஜெட் செயல்கள்	திற	நெருக்கமான	நகர்த்து	கேஜெட் தற்போது இங்கு திறந்து	புதிய சாளரம்	அற்புதம்
VI	Trong khoảng	Bảng điều khiển	Xem Giới thiệu	Người xem	Các ứng dụng	ứng dụng Chart	chào bạn	lưới	Đồ thị	Tin tức	Đóng tab	Đóng tất cả cửa sổ	Di chuyển tất cả các tab để	Đóng các tab khác	Lật Left Right	Lật Lên trên dưới	Định hướng lật	Thu Ngay	Thu Left	Thu Trang	sụp đổ dưới	Di chuyển đến Location	Người xem	switch User	Sở thích	Mở menu Tiện ích	ứng dụng mở	Mở ứng dụng Chart	Open Grid	mở Tin tức	mở Chart	Mẫu Intranet Tin tức	Thể hiện dữ liệu quy trình làm việc thông qua bảng xếp hạng	Open in new window	mở Viewer	Tới Bảng điều khiển	cửa sổ	cửa sổ này	So sánh	Click vào thanh công cụ điều khiển tiện ích để mở tiện ích!	Tải	Tiện ích trên bảng điều khiển này	Hoạt động Gadget	Mở ra	Gần	Chuyển tới	Gadget hiện đang mở ở đây	Cửa sổ mới	Tuyệt vời
UR	کے بارے میں	کنسول	لنک کا تعارف	ناظرین	درخواستیں	درخواستیں چارٹ	ہیلو	گرڈ	چارٹ	خبریں	بند ٹیب	تمام ٹیبز بند کریں	کرنے کے لئے تمام ٹیبز میں منتقل کریں	دیگر ٹیبز بند کریں	بائیں دائیں پلٹائیں	اوپر سے نیچے پلٹائیں	پلٹائیں واقفیت	دایاں مختصر کریں	بائیں بازو کی جماعتوں کو سکیڑیں	اوپر ختم کریں	کھولیں بند کریں پایان	مقام پر منتقل	ناظرین	استعمال کنندہ کو تبدیل کریں	ترجیحات	اوپن کل پرزے مینو	کھولیں درخواستیں	کھولیں درخواستیں چارٹ	اوپن گرڈ	کھولیں خبریں	اوپن چارٹ	نمونہ انٹرانیٹ خبریں	چارٹ کے ذریعے کام کے فلو کو ڈیٹا کے ثبوت	نئی ونڈو میں کھولیں	کھولیں ناظر	کنسول پر جائیں	ونڈو	اس ونڈو	کا موازنہ کریں	گیجٹ کو کھولنے کے لئے ٹول بار گیجٹ کنٹرول پر کلک کریں!	لوڈ کر رہا ہے	اس پینل پر کل پرزے	گیجٹ کے عوامل	میں کھولیں	بند	پر منتقل	گیجٹ فی الحال یہاں کھول دیا	نئی ونڈو	خوفناک
